cat,image_name,ratio
20,170721_O24_4_277_717.png,0.2806
10,170721_N13_4_610_654.png,0.4717
5,170721_M08_4_1127_682.png,0.3155
0,170721_I05_4_1041_1001.png,1.2555
20,170721_N24_3_353_1083.png,0.2081
0,170721_I01_3_235_454.png,1.0333
10,170721_K15_3_930_1161.png,0.2261
20,170721_I21_3_137_856.png,0.3037
5,170721_I06_1_1021_747.png,0.7662
10,170721_N14_3_549_532.png,0.2962
5,170721_K09_3_868_930.png,0.1751
5,170721_M08_3_308_963.png,0.3793
10,170721_O15_3_503_1018.png,0.6229
0,170721_O05_1_212_1130.png,1.2846
0,170721_I05_2_960_421.png,1.115
10,170721_L11_4_707_888.png,0.6571
0,170721_J03_2_742_375.png,0.3933
10,170721_M14_1_512_598.png,0.1174
20,170721_M22_4_333_509.png,0.0932
10,170721_N12_4_362_665.png,0.3547
0,170721_M01_1_345_928.png,1.8089
5,170721_J08_4_284_1244.png,0.3598
0,170721_I01_3_1221_790.png,1.1731
10,170721_P12_2_970_162.png,0.2184
5,170721_J09_4_1057_620.png,0.2472
5,170721_P06_4_743_237.png,0.2743
20,170721_P22_2_432_1205.png,0.195
0,170721_P03_2_936_263.png,0.324
5,170721_O10_1_614_825.png,0.3541
5,170721_P07_4_488_542.png,0.2262
10,170721_N12_4_515_746.png,0.3676
20,170721_O23_2_995_320.png,0.2968
5,170721_N08_2_480_311.png,0.09333
10,170721_M11_2_975_589.png,0.3869
0,170721_L04_2_653_320.png,1.1726
10,170721_O14_3_343_762.png,0.3489
5,170721_M08_2_812_1040.png,0.1982
10,170721_O12_3_1098_754.png,0.2367
5,170721_P08_3_730_649.png,0.2373
5,170721_P08_1_1174_825.png,0.5093
20,170721_J23_1_1239_136.png,0.6897
20,170721_L24_2_727_753.png,0.245
5,170721_O07_1_645_137.png,0.1996
0,170721_J02_1_873_748.png,0.9538
5,170721_L08_3_306_183.png,0.207
20,170721_P23_4_496_779.png,0.2347
0,170721_P01_3_1162_263.png,0.8582
20,170721_K21_3_1078_765.png,0.476
10,170721_L12_2_587_388.png,0.2788
0,170721_J05_1_467_480.png,0.9612
5,170721_I06_1_460_948.png,0.2137
20,170721_K21_4_405_588.png,0.2498
10,170721_J12_2_265_191.png,0.2764
5,170721_I07_3_1211_384.png,0.5521
10,170721_J13_4_542_1183.png,0.2096
10,170721_N11_2_168_1250.png,0.1959
5,170721_N10_2_467_790.png,0.2265
20,170721_N21_2_369_752.png,0.3374
0,170721_P05_3_248_388.png,1.4112
5,170721_L07_2_717_222.png,0.2343
0,170721_M04_3_653_735.png,1.5105
10,170721_N12_2_277_1218.png,0.2317
0,170721_L01_1_1055_976.png,0.7737
10,170721_L11_2_464_640.png,0.2792
10,170721_P11_1_666_433.png,0.2803
5,170721_N07_3_284_616.png,0.2877
10,170721_P14_2_930_418.png,0.2961
10,170721_J11_4_1165_891.png,0.2481
5,170721_J10_1_587_882.png,0.2845
0,170721_N02_4_1261_495.png,1.3376
5,170721_K08_1_1140_1047.png,0.1412
20,170721_P21_2_1136_900.png,0.4375
0,170721_O04_1_796_351.png,1.2584
10,170721_O15_1_589_619.png,0.3335
5,170721_J09_4_846_364.png,0.117
0,170721_P01_4_307_892.png,0.416
0,170721_O04_1_529_849.png,1.0035
10,170721_N13_3_494_205.png,0.3236
10,170721_M14_1_1155_257.png,0.6707
5,170721_J06_2_489_1128.png,0.3659
20,170721_I22_4_740_1075.png,0.2379
5,170721_M09_3_1055_735.png,0.3058
5,170721_O09_1_1117_821.png,0.3077
20,170721_O24_2_790_881.png,0.611
20,170721_J23_1_940_1185.png,0.4072
5,170721_P07_1_690_712.png,0.2148
0,170721_O04_1_554_360.png,0.9336
0,170721_O03_3_789_320.png,1.16
0,170721_M04_4_795_283.png,1.3099
10,170721_P14_1_505_291.png,0.317
0,170721_N02_4_1251_146.png,0.4237
0,170721_M04_1_430_727.png,1.591
0,170721_M04_3_925_724.png,0.7206
0,170721_M03_3_1224_375.png,1.4522
5,170721_J09_3_471_276.png,0.2822
5,170721_O08_2_530_482.png,0.6747
0,170721_P02_2_244_1169.png,0.5922
10,170721_L15_4_1197_189.png,0.2234
5,170721_N08_1_380_464.png,0.193
20,170721_O22_1_611_1068.png,0.8853
10,170721_J14_2_614_740.png,0.5936
20,170721_L24_2_386_779.png,0.3155
5,170721_K07_4_489_1143.png,0.665
20,170721_J21_4_777_842.png,0.3411
5,170721_P08_2_379_1253.png,0.2087
10,170721_J11_4_1101_170.png,0.2013
5,170721_N10_4_924_739.png,0.3387
10,170721_J11_4_522_1248.png,0.5675
10,170721_M12_1_359_524.png,0.276
5,170721_J09_2_868_408.png,0.7425
20,170721_K24_1_834_370.png,0.3408
5,170721_N07_1_1260_653.png,0.7365
5,170721_K08_3_234_1061.png,0.3231
20,170721_P23_1_912_712.png,0.5533
20,170721_K21_2_487_1038.png,0.239
0,170721_O03_4_1268_640.png,0.7206
0,170721_O05_1_711_274.png,1.4259
10,170721_K15_2_280_538.png,0.49
20,170721_M22_2_636_930.png,0.4718
20,170721_I23_1_1124_314.png,0.2813
0,170721_P03_2_850_1174.png,1.1064
10,170721_I13_3_1222_1217.png,0.349
5,170721_P06_3_290_1069.png,0.1941
10,170721_P12_4_959_1038.png,0.4659
0,170721_M02_4_839_483.png,1.1875
10,170721_O11_2_1186_907.png,0.2627
10,170721_L13_3_704_1220.png,0.2939
10,170721_M13_4_590_447.png,0.2535
10,170721_O15_4_905_717.png,0.4406
10,170721_N12_3_254_453.png,0.1908
10,170721_M11_4_1113_244.png,0.4242
5,170721_K07_4_488_1145.png,0.6591
0,170721_I02_3_257_719.png,0.9209
0,170721_K05_2_638_1014.png,0.5509
20,170721_K22_2_567_1270.png,0.2212
5,170721_J10_4_1192_662.png,0.7611
5,170721_N09_1_1034_237.png,0.2999
5,170721_I10_2_744_311.png,0.3336
5,170721_P06_2_290_1081.png,0.3667
0,170721_O04_3_379_1105.png,1.1837
20,170721_P21_4_952_820.png,0.2037
10,170721_L13_3_1175_695.png,0.3397
20,170721_P23_2_668_734.png,0.3731
0,170721_I04_2_1267_1137.png,0.719
5,170721_P09_4_1073_1055.png,0.2952
5,170721_M09_1_799_418.png,0.2383
5,170721_P07_1_165_1025.png,0.1839
10,170721_J14_3_1028_542.png,0.4223
0,170721_N05_1_1250_1161.png,1.7344
5,170721_P07_3_138_347.png,0.3261
10,170721_O14_2_1254_743.png,0.5254
20,170721_K22_3_290_1136.png,0.1986
20,170721_I23_2_926_1038.png,0.2032
0,170721_J01_4_234_920.png,0.8613
10,170721_K14_4_1008_337.png,0.4417
5,170721_L08_1_648_417.png,0.3687
5,170721_K10_4_658_578.png,0.3247
10,170721_M12_2_522_1061.png,0.2867
0,170721_K04_3_263_437.png,1.0125
10,170721_N15_4_1231_827.png,0.3733
10,170721_J13_2_1256_550.png,0.3554
10,170721_P15_2_984_1268.png,0.3024
20,170721_O21_1_512_1264.png,0.3553
0,170721_K02_3_409_1022.png,1.2619
10,170721_O13_3_1171_1250.png,0.3991
20,170721_M21_1_1056_534.png,0.244
20,170721_O23_4_1065_456.png,0.3505
0,170721_L03_4_516_497.png,1.2502
5,170721_P10_1_274_972.png,0.3885
0,170721_O03_2_167_446.png,0.5816
0,170721_K05_4_408_361.png,1.5438
0,170721_J01_3_1234_129.png,1.0618
10,170721_O12_3_680_770.png,0.1947
20,170721_J22_1_385_945.png,0.6117
0,170721_K01_1_1228_537.png,0.9056
20,170721_J24_3_1072_251.png,0.4176
0,170721_K04_4_1132_755.png,0.8108
5,170721_M10_3_1237_567.png,0.3809
10,170721_O11_4_687_901.png,0.3001
5,170721_J06_2_275_382.png,0.2381
5,170721_I07_2_758_631.png,0.4055
10,170721_P15_3_608_580.png,0.2099
5,170721_L08_1_1129_1102.png,0.3114
5,170721_J06_3_1227_259.png,0.6834
0,170721_L04_4_928_283.png,0.7013
20,170721_P21_4_996_459.png,0.252
10,170721_O12_1_285_1143.png,0.5147
5,170721_L06_3_164_1074.png,0.616
5,170721_K08_4_611_894.png,0.3465
20,170721_N22_4_988_1128.png,0.4442
10,170721_P12_3_737_485.png,0.3425
0,170721_P05_2_907_1053.png,0.8897
0,170721_N03_2_468_292.png,0.8138
5,170721_I06_4_727_757.png,0.3668
10,170721_N14_1_1043_350.png,0.1257
10,170721_K15_3_783_430.png,0.2674
5,170721_P10_2_994_797.png,0.3926
5,170721_N09_2_714_421.png,0.2723
0,170721_P04_2_1005_483.png,0.4496
20,170721_O22_3_1048_320.png,0.2872
20,170721_I23_2_508_1100.png,0.2011
10,170721_I12_2_714_397.png,0.2946
0,170721_I01_1_1231_189.png,1.1347
5,170721_O08_4_238_465.png,0.1834
20,170721_O22_1_764_924.png,0.5281
5,170721_J07_4_315_522.png,0.3421
10,170721_I13_1_519_1004.png,0.9777
10,170721_J13_4_836_990.png,0.2985
0,170721_I05_1_1043_189.png,1.5164
20,170721_N22_3_988_608.png,0.4812
20,170721_O23_4_1053_1120.png,0.2236
10,170721_I13_3_825_334.png,0.3736
5,170721_J06_2_371_463.png,0.3137
10,170721_O14_3_948_313.png,0.4679
0,170721_K03_2_506_379.png,1.4175
10,170721_O11_1_214_211.png,0.1784
0,170721_J05_2_754_632.png,0.9802
0,170721_M03_2_740_794.png,1.348
5,170721_I06_4_395_696.png,0.312
0,170721_O05_4_241_1014.png,1.3594
10,170721_N11_1_1243_1075.png,0.335
5,170721_I07_2_756_629.png,0.4025
5,170721_M09_4_980_370.png,0.3089
20,170721_P21_2_212_1252.png,0.1633
10,170721_J13_1_512_648.png,0.2009
5,170721_L10_4_1181_746.png,0.4259
10,170721_M12_3_1087_147.png,0.2834
0,170721_L04_1_344_461.png,1.3994
5,170721_M07_2_726_669.png,0.5598
0,170721_P04_2_877_1034.png,1.3828
0,170721_L04_3_635_1103.png,1.288
0,170721_P02_3_976_672.png,0.2911
0,170721_J02_2_1226_924.png,1.0696
5,170721_P08_1_1041_932.png,0.3935
10,170721_N15_4_302_750.png,0.2848
0,170721_K05_3_1033_1018.png,1.292
5,170721_J10_4_936_250.png,0.2564
5,170721_L10_2_345_959.png,0.08157
5,170721_I06_1_812_754.png,0.2624
20,170721_M21_3_145_1234.png,0.2864
10,170721_N13_1_160_479.png,0.1921
5,170721_I09_1_989_1229.png,0.4741
10,170721_M11_3_1167_995.png,0.5477
5,170721_M07_3_904_1105.png,0.281
5,170721_K08_4_900_720.png,0.2777
0,170721_N03_2_1162_985.png,0.5685
20,170721_P21_4_943_573.png,0.6938
20,170721_N21_2_505_802.png,0.2506
20,170721_L22_4_1271_610.png,0.2936
10,170721_L14_4_356_401.png,0.3076
5,170721_M08_2_263_963.png,0.2083
10,170721_N15_3_363_901.png,0.3886
5,170721_K06_4_368_424.png,0.288
10,170721_I15_2_1271_1263.png,0.4004
0,170721_J05_1_279_788.png,0.932
10,170721_O14_3_823_670.png,0.2331
0,170721_O01_4_729_1179.png,0.8728
0,170721_O03_3_252_210.png,1.3675
0,170721_J03_2_651_822.png,0.9933
5,170721_K06_2_506_852.png,0.3179
10,170721_K14_2_1233_291.png,0.2456
10,170721_I12_4_289_167.png,0.2543
0,170721_O03_4_1009_388.png,1.1906
0,170721_I02_3_1023_814.png,1.1488
20,170721_N22_3_916_479.png,0.3696
10,170721_M14_1_940_700.png,0.2078
0,170721_I02_1_625_595.png,0.808
10,170721_I15_1_912_611.png,0.4474
10,170721_I12_1_1040_697.png,0.5571
0,170721_I05_1_1233_750.png,0.7419
10,170721_L15_2_328_625.png,0.3243
5,170721_N06_2_492_1130.png,0.2966
10,170721_P12_1_634_1147.png,0.3766
10,170721_N15_4_919_639.png,0.4209
5,170721_O09_2_269_562.png,0.2415
5,170721_P06_3_711_990.png,0.168
0,170721_O02_3_972_754.png,1.1162
20,170721_N21_3_1051_922.png,0.3328
0,170721_I02_2_650_880.png,0.6835
0,170721_M01_2_977_935.png,1.3038
5,170721_K07_3_427_1003.png,0.4901
20,170721_L23_1_590_489.png,0.3199
5,170721_K09_3_432_802.png,0.0885
10,170721_J13_2_871_798.png,0.2194
5,170721_M07_2_985_811.png,0.3192
10,170721_K13_4_1015_330.png,0.4792
20,170721_L23_3_1106_1195.png,0.3211
5,170721_J09_3_330_405.png,0.3837
5,170721_I08_1_1125_447.png,0.5237
20,170721_M21_3_930_762.png,0.2785
0,170721_O01_2_196_367.png,1.0345
10,170721_O14_3_205_361.png,0.349
20,170721_J22_2_351_780.png,0.2105
20,170721_P24_4_331_473.png,0.3472
0,170721_J05_3_992_774.png,1.0217
0,170721_K03_2_274_929.png,0.8519
20,170721_O23_2_1052_1224.png,0.2329
20,170721_L24_3_938_503.png,0.2269
20,170721_I23_1_815_706.png,0.3101
20,170721_L22_2_450_1232.png,0.4997
0,170721_M01_4_381_372.png,1.2912
0,170721_P04_4_217_983.png,1.0047
5,170721_J06_2_916_639.png,0.4053
5,170721_J06_1_522_340.png,0.2615
5,170721_O06_4_651_827.png,0.2155
20,170721_L23_2_906_432.png,0.4606
20,170721_O24_1_969_1040.png,0.256
5,170721_J10_1_1254_212.png,0.4681
5,170721_O06_1_848_921.png,0.4511
5,170721_K10_4_844_1251.png,0.32
5,170721_P09_3_935_296.png,0.3402
10,170721_N12_4_484_867.png,0.2262
10,170721_M11_3_523_431.png,0.1733
5,170721_K07_4_488_1146.png,0.6571
10,170721_N14_2_366_743.png,0.5996
0,170721_J03_4_448_452.png,1.0114
5,170721_L09_2_925_1103.png,0.3117
20,170721_K21_4_1244_305.png,0.6551
20,170721_N23_4_841_157.png,0.1924
5,170721_O10_1_275_169.png,0.549
0,170721_L05_2_716_557.png,1.0458
20,170721_M21_1_1189_1012.png,0.2296
20,170721_I24_3_265_534.png,0.2088
10,170721_O14_1_535_973.png,0.3344
0,170721_K05_1_326_512.png,0.6206
0,170721_N04_2_261_249.png,1.6465
10,170721_O12_4_342_817.png,0.2664
0,170721_J03_3_770_1173.png,1.0925
20,170721_O24_1_856_1018.png,0.3159
10,170721_K15_4_705_1228.png,0.3349
10,170721_J12_2_572_1011.png,0.2905
0,170721_N02_2_265_256.png,1.302
10,170721_N15_2_604_653.png,0.37
5,170721_J09_1_593_916.png,0.5707
0,170721_M02_2_295_1235.png,1.1822
5,170721_I06_1_264_938.png,0.442
5,170721_L09_3_210_421.png,0.2525
20,170721_K23_4_303_846.png,0.3811
5,170721_J06_4_964_287.png,0.4166
10,170721_L12_2_1266_294.png,0.8989
0,170721_L01_2_1094_1082.png,0.5352
0,170721_J02_4_133_1181.png,0.8429
0,170721_P01_3_919_1045.png,0.7193
10,170721_L12_2_666_1245.png,0.5598
5,170721_N09_4_394_483.png,0.1968
5,170721_M08_2_269_760.png,0.3158
5,170721_O06_3_412_966.png,0.3191
20,170721_I24_4_940_643.png,0.3782
0,170721_P03_3_1172_402.png,0.4042
0,170721_J01_4_751_674.png,0.8315
0,170721_J05_3_274_710.png,0.6397
20,170721_J24_4_858_166.png,0.2049
0,170721_K05_4_179_307.png,1.1169
10,170721_L11_3_744_310.png,0.5955
0,170721_K03_4_525_584.png,0.7058
10,170721_M12_2_438_825.png,0.2562
20,170721_P22_1_1145_594.png,0.5414
20,170721_O21_3_338_236.png,0.2764
5,170721_K09_2_385_1027.png,0.4149
0,170721_I02_2_189_475.png,0.7334
5,170721_O07_1_1143_581.png,0.2823
5,170721_K09_2_578_461.png,0.3826
0,170721_I04_3_1019_1069.png,1.1521
5,170721_K06_1_232_984.png,0.4128
20,170721_P22_3_848_170.png,0.4184
5,170721_K08_3_882_1073.png,0.2673
10,170721_N14_1_524_1265.png,0.1675
5,170721_P10_2_1260_813.png,0.3024
5,170721_N08_3_325_172.png,0.2036
10,170721_I12_4_830_1264.png,0.4162
5,170721_M08_1_646_740.png,0.3116
0,170721_K01_4_364_708.png,0.9775
0,170721_M04_1_576_661.png,1.0653
10,170721_K12_1_302_914.png,0.2314
5,170721_N09_2_850_479.png,0.3861
0,170721_P04_2_717_1161.png,0.6818
5,170721_I07_2_607_1084.png,0.5103
5,170721_K09_3_431_417.png,0.314
5,170721_O09_2_366_405.png,0.207
0,170721_L04_2_743_593.png,0.4674
10,170721_L15_3_440_327.png,0.3918
0,170721_K05_1_578_548.png,1.1144
20,170721_J23_3_138_303.png,0.613
20,170721_N24_4_822_348.png,0.3621
5,170721_O10_1_228_1257.png,0.6544
20,170721_J21_1_960_508.png,0.2683
5,170721_I06_1_811_313.png,0.3497
0,170721_P05_2_774_1107.png,1.0274
5,170721_N08_3_593_200.png,0.2338
10,170721_I11_4_438_1080.png,0.1928
0,170721_O02_1_527_462.png,0.6637
10,170721_K11_4_335_521.png,0.498
20,170721_I23_4_644_732.png,0.3805
10,170721_I11_1_1037_849.png,0.3398
20,170721_I23_1_636_1110.png,0.289
0,170721_L03_3_220_1125.png,0.9185
10,170721_M14_2_757_312.png,0.3027
20,170721_P24_2_1099_311.png,0.2973
20,170721_J23_4_244_1064.png,0.5309
10,170721_M12_4_233_137.png,0.2702
10,170721_I15_1_921_722.png,0.5482
20,170721_N23_1_959_740.png,0.3147
20,170721_K21_3_781_540.png,0.3352
10,170721_J14_3_263_1180.png,0.1779
5,170721_M10_3_1190_272.png,0.3306
0,170721_I05_1_1093_1032.png,1.44
0,170721_J02_1_392_308.png,0.9205
20,170721_P24_2_513_277.png,0.2153
0,170721_O02_3_687_1104.png,1.3517
20,170721_J23_4_980_721.png,0.7405
0,170721_J02_2_995_619.png,0.891
5,170721_J10_3_900_918.png,0.2057
5,170721_I07_2_758_633.png,0.4079
5,170721_M09_1_933_923.png,0.1337
10,170721_I13_2_276_813.png,0.3561
20,170721_N24_3_412_992.png,0.2231
0,170721_N01_3_803_914.png,0.9563
10,170721_K14_3_201_852.png,0.4374
0,170721_O01_2_1171_160.png,1.1129
5,170721_I06_2_714_810.png,0.3952
10,170721_P14_4_507_198.png,0.2331
10,170721_K15_1_751_218.png,0.3608
0,170721_N01_1_168_741.png,1.0086
20,170721_I23_1_983_600.png,0.2817
20,170721_N22_2_893_1058.png,0.5216
0,170721_P02_3_808_165.png,0.8716
5,170721_K09_4_464_326.png,0.9363
5,170721_L07_3_729_1199.png,0.3932
10,170721_O13_3_1234_702.png,0.568
5,170721_J07_4_238_422.png,0.1687
10,170721_I13_1_527_1210.png,0.3884
5,170721_L07_4_1074_269.png,0.3368
5,170721_K08_2_718_1230.png,0.492
5,170721_J09_3_1241_472.png,0.2894
0,170721_N04_2_260_256.png,1.6432
5,170721_I10_4_855_487.png,0.2246
10,170721_M11_2_1023_987.png,0.2246
5,170721_K09_4_343_186.png,0.3311
20,170721_P22_3_129_332.png,0.1741
20,170721_O22_2_570_890.png,0.24
5,170721_N10_4_482_910.png,0.125
5,170721_M08_2_765_887.png,0.308
20,170721_I21_1_429_1197.png,0.32
5,170721_L07_1_348_689.png,0.2902
20,170721_L21_4_1012_173.png,0.3379
20,170721_I23_2_261_202.png,0.2703
10,170721_M12_1_137_720.png,0.3853
20,170721_I22_4_613_252.png,0.362
5,170721_M07_3_250_794.png,0.1823
0,170721_L03_3_1225_364.png,1.1122
20,170721_J23_1_827_799.png,0.4785
20,170721_J23_1_557_430.png,0.2613
20,170721_P21_4_899_670.png,0.243
10,170721_M15_4_893_1038.png,0.3108
10,170721_N11_3_366_1086.png,0.3087
20,170721_I24_3_413_446.png,0.2261
10,170721_K12_2_918_1053.png,0.2161
10,170721_M11_2_941_129.png,0.2909
10,170721_N11_4_782_1263.png,0.3854
5,170721_O07_3_593_475.png,1.0
20,170721_I23_3_339_351.png,0.3514
5,170721_P07_2_1016_745.png,0.1893
20,170721_O22_2_549_702.png,0.5852
5,170721_N08_1_202_961.png,0.2552
10,170721_J11_3_848_903.png,0.2361
0,170721_I05_1_664_595.png,0.4452
10,170721_M15_3_1200_1206.png,0.2511
0,170721_J01_3_1270_1075.png,0.5934
10,170721_K13_3_332_260.png,0.1288
10,170721_M14_2_1203_176.png,0.2169
0,170721_J04_3_753_604.png,1.2458
5,170721_I07_3_1114_653.png,0.2544
5,170721_P09_4_821_1033.png,0.2813
0,170721_I01_4_888_1212.png,1.1253
5,170721_P06_2_613_1197.png,0.4111
0,170721_K05_1_1121_811.png,1.0735
20,170721_M22_2_621_1032.png,0.439
0,170721_I05_2_613_460.png,0.7053
20,170721_M21_4_217_539.png,0.216
5,170721_K08_2_536_846.png,0.5309
5,170721_P07_4_1244_510.png,0.3398
10,170721_O14_3_1099_811.png,0.2852
0,170721_I05_2_306_932.png,0.6551
5,170721_P10_2_1212_628.png,0.3232
20,170721_I23_2_210_463.png,0.3028
0,170721_J03_4_985_295.png,0.626
0,170721_I04_4_515_578.png,0.829
5,170721_J06_4_1073_171.png,0.4168
20,170721_I22_2_141_933.png,0.2372
20,170721_M22_2_1076_613.png,0.2703
0,170721_J02_1_1036_272.png,0.5298
5,170721_I07_1_1203_487.png,0.331
5,170721_J06_2_1095_633.png,0.4347
10,170721_L13_1_152_573.png,0.2142
10,170721_M11_2_636_286.png,0.3723
0,170721_I01_2_829_226.png,1.4646
0,170721_N04_2_262_256.png,1.6395
5,170721_J10_4_766_1071.png,0.8617
20,170721_L22_1_313_435.png,0.3407
0,170721_N01_4_1271_849.png,0.8319
20,170721_N22_4_591_512.png,0.3791
10,170721_P15_4_142_201.png,0.2417
10,170721_K15_4_821_1262.png,0.3577
5,170721_N10_1_640_750.png,0.2505
10,170721_M13_4_382_1220.png,0.3675
5,170721_O10_3_701_349.png,0.4647
5,170721_J06_2_1271_765.png,0.2944
0,170721_J03_3_142_591.png,0.6518
5,170721_O06_4_953_1013.png,0.3458
20,170721_O21_4_966_543.png,0.2475
5,170721_O06_3_185_129.png,0.3106
0,170721_I05_4_140_1257.png,1.3588
5,170721_L09_1_1030_1099.png,0.3172
0,170721_M04_2_1246_451.png,0.7467
10,170721_L13_4_1142_765.png,0.5307
5,170721_L08_4_475_808.png,0.2896
5,170721_O07_1_368_767.png,0.1601
0,170721_K05_2_430_389.png,1.2118
0,170721_I03_1_238_1035.png,1.4482
10,170721_O13_2_340_404.png,0.2441
20,170721_O22_2_1100_183.png,0.2851
0,170721_N03_4_900_1122.png,1.1566
0,170721_N05_2_567_619.png,1.5975
10,170721_I15_2_640_296.png,0.301
5,170721_M07_1_406_500.png,0.4836
5,170721_I06_3_436_644.png,0.3713
20,170721_J24_4_1133_168.png,0.3835
5,170721_J09_2_635_350.png,0.3976
5,170721_K06_2_451_185.png,0.3047
0,170721_N04_2_262_244.png,1.6363
5,170721_M10_2_414_1188.png,0.3341
20,170721_K22_3_730_388.png,0.2216
10,170721_M13_2_274_500.png,0.2573
0,170721_K03_2_1050_446.png,1.0748
10,170721_N15_2_1213_1187.png,0.2469
0,170721_I05_1_374_569.png,1.1708
10,170721_M11_3_989_619.png,0.2649
10,170721_O11_1_541_367.png,0.2949
10,170721_K12_1_1125_653.png,0.509
5,170721_M06_4_1120_629.png,0.5069
20,170721_P22_1_991_806.png,0.3115
5,170721_O10_3_803_512.png,0.2611
5,170721_O10_3_795_735.png,0.7508
20,170721_K22_1_778_1192.png,0.471
5,170721_P07_4_1173_1004.png,0.272
5,170721_K09_2_328_1179.png,0.2507
0,170721_P03_4_335_725.png,0.8209
0,170721_I01_3_613_274.png,0.5888
10,170721_L15_3_682_954.png,0.2597
5,170721_N09_2_501_454.png,0.3244
0,170721_K02_4_696_632.png,0.7608
10,170721_J11_2_437_1159.png,0.2937
5,170721_O08_3_266_1233.png,0.2076
5,170721_O07_3_947_876.png,0.5416
5,170721_P10_1_441_545.png,0.2177
10,170721_L14_1_1025_823.png,0.9147
0,170721_L01_2_247_799.png,1.0333
5,170721_I10_3_1008_767.png,0.2951
0,170721_N03_3_750_593.png,0.8733
10,170721_L15_3_1097_935.png,0.3224
5,170721_K06_4_397_1212.png,0.1716
10,170721_N13_3_168_190.png,0.2904
10,170721_P15_2_863_494.png,0.2378
5,170721_I07_2_630_149.png,0.4634
10,170721_M11_2_1218_700.png,0.4136
5,170721_N06_2_818_1257.png,0.3607
5,170721_L06_1_434_936.png,0.3234
0,170721_M05_3_150_1107.png,1.1078
0,170721_O03_2_813_317.png,1.0772
20,170721_K24_3_627_795.png,0.3272
5,170721_J06_3_768_1235.png,0.2618
10,170721_P12_4_930_365.png,0.4957
5,170721_K08_4_909_1233.png,0.2988
5,170721_J09_2_1271_503.png,0.3919
5,170721_J06_4_1089_831.png,0.4441
5,170721_N06_1_1226_542.png,0.3004
20,170721_J21_1_997_274.png,0.3098
20,170721_N24_1_785_979.png,0.1748
20,170721_J22_2_803_488.png,0.4301
20,170721_I23_3_642_942.png,0.2031
20,170721_J23_2_980_1139.png,0.3696
10,170721_I15_4_286_183.png,0.4481
0,170721_J03_1_1178_689.png,1.0923
5,170721_K06_1_677_1233.png,0.3899
10,170721_K12_3_985_1112.png,0.3657
20,170721_L22_3_316_1152.png,0.1177
0,170721_N01_2_1228_1076.png,0.4
20,170721_K24_2_782_842.png,0.3178
10,170721_P11_2_903_705.png,0.4255
0,170721_K02_4_297_715.png,0.9735
0,170721_N05_2_1042_952.png,1.6699
20,170721_K23_1_431_701.png,0.2032
10,170721_K14_3_999_687.png,0.3943
20,170721_N22_3_372_983.png,0.248
10,170721_P12_2_1028_560.png,0.3568
10,170721_O15_1_732_316.png,0.4878
0,170721_L04_3_395_477.png,0.9815
